novel_author,novel_introduction,novel_name,novel_redu,novel_shoucang,novel_startdate,novel_status,novel_tag,novel_updatedate,novel_url,novel_zishu
L.B.Rabbit,"清代文人「蒲松龄」穿越来到现代，变成自己的第十八代孙「蒲望东」？！,
「找不到回去的方法啊。」,
早知道就不去招惹那只变态大妖怪。,
要回到过去，唯有帮妖怪小姐姐的忙，顺道打探一下「苏」的情报。,
说起来，左边一个色气可爱巫女，右边一个文静美女同学，还遇到与在清朝的初恋情人长得一模一样的学生会会长，在找到回去大清朝的办法前，聊斋先生能够顺利解决自己的恋爱烦恼（同时拯救世界）吗？",聊斋先生的花妖狐魅,256.7万,1995,2017-06-25 17:37,"
                        ,
                            连载中                    ",幻想|恋爱|妖怪|第二回新人赏  长篇组,49分钟前,http://www.linovel.net/book/102120.html,17.6万
笹本祐一,"充满朝气的女高中生茉莉香不仅参加了宇宙快艇部的社团活动，而且还在一家复古咖啡店里打工，过着忙碌充实的生活。一天，突然有一对男女自称是她父亲的部下，向她告知了父亲的死讯并邀请她出任宇宙海盗船弁天号的船长。一个世纪前，在独立战争的混乱当中发行了一种私掠船执照，根据上面的要求，船长过世以后海盗船必须要由船长的直系子嗣继承——,
一部紧张刺激的新系列太空歌剧华丽登场！",迷你裙宇宙海盗『官方正版』,188万,1606,2016-07-06 16:42,"
                        ,
                            连载中                    ",战斗|异界|科幻,39分钟前,http://www.linovel.net/book/100755.html,126.7万
青岚之风," 这是一部奇幻穿越小说，以女主角雨怜红的视角展开，与人形人偶落落的友情交织，家世的扑朔迷离以及蔷薇少女真红的介入，新的世界大门在怜红之前打开，她踏上了自己选择的艰险道路，无论前路有何艰险,我依旧坚定我的选择，走下去！”穿越于各动漫小说漫画世界之间，遭遇各种困难，邂逅不一样的人不一样的事，学习世界中的各种魔法咒语刀法剑法等你意想不到的能力来磨练自己不断变强，守护和拯救自己最重要的人。本书分为暗线和主线，有着意想不到的展开哦。其中更穿插谜案和悬案，怜红以侦探身份出场，锻炼自己的推理能力，一笑道破天机，从重重迷雾之中抓住真相，经过血的洗礼后蜕变，这一切只为完成心之宏愿！,
蔷薇少女强势加盟，友情与爱情的交织舞曲，更有Q番外在等着你，一起加入吧！",人偶之心,36.5万,316,2018-06-16 13:51,"
                        ,
                            连载中                    ",战斗|恋爱|异界,28分钟前,http://www.linovel.net/book/104475.html,22.2万
清风LY,"在某个时代，一具拥有特殊能力的神像掉落在人家，给予人和野兽特殊的形态以及能力。,
可就在某个实力至上的帝国中，一对本应该受到万人敬畏的兄妹却......",死神异闻录,7.2万,62,2018-07-21 11:24,"
                        ,
                            连载中                    ",幻想|战斗|妹控|2018轻之文库创想物语大赏1st,25分钟前,http://www.linovel.net/book/104726.html,4.2万
朽翁菩提,"    即将高三毕业的陆翎玥，一直以来都过着普普通通的日常生活，本应默默无闻度过一生的他却突然踏入了“超人”的领域。,
    弱小的他终于成为了他一直憧憬着的模样，但现实却是残酷的，不是每一个人都会得到上帝的眷恋。,
    和平而又温馨的世界开始产生动乱，陆翎玥身边的一切都产生了巨大的变动。,
    凯撒作为陆翎玥唯一的挚友，从“那一天”开始，就一次次践踏着对方脆弱的心脏。,
    在全世界都背叛了陆翎玥的时候，陆翎玥到底该如何选择。,
    这里所讲述的是一段充满着“青春”和“热血”的故事。",世界终端的遗弃之子,3.5万,50,6天前,"
                        ,
                            连载中                    ",幻想|战斗|校园|2018轻之文库创想物语大赏1st,24分钟前,http://www.linovel.net/book/105535.html,2.8万
村长,"本书又名《银月战纪》,一日一更，一更一章，一章两千,
介绍一：在这个充满幸福与杀戮，美妙与残酷的世界中，我有个伟大又渺小的梦想:让所有人都知道，老子不是精灵！！然后跟妻子调调情，生俩娃；和基友探探险，挖个宝。顺便做好商会工作。所以，我要自由而淫荡的活下去。是的，只有活着我才能见到明天跳跃在地平线上的金色希望；只有活着我才能复仇，亲手血刃那个曾经让我痛苦到灵魂深处的人！,
,
介绍二：月长星，这是我的名字，在月之大陆上的用的名字。在这里，我有父母，有工作，有妻子，有女友，有基友，咳咳，是有朋友……嗯，先声明，妻子跟女友是两个女孩儿，而且呢，我不止一个基友，又说错了……是不止一个朋友，嘿嘿……我可是完成了很多男人一辈子都梦想的事情……哦哈哈哈哈（一脸淫笑ing）,
咳咳，好了，自我介绍就这么简洁，接下来是提问时间：,
月长星：什么，你问我，为何留着一头飘逸的银色长发跟美丽不可万物的银色瞳孔？,
答：母亲的基因强大吧。她可精灵族中稀有的银月精灵，我自然也传承了……,
问：那你就是精灵喽？,
答：不是，我不是精灵，你看，我可没有精灵尖尖的耳朵，也不会总吃素。（月长星用手撩开银色长发，漏出了正常的人类耳朵）,
问：但是你背着弓箭，月之大陆上，精灵可是天生的弓箭手，而且你银发银瞳，还有，你姓：月，世界上可是只有银月精灵姓月啊……,
答：（十分气愤）我有什么办法！！！母亲的基因太强大，以至于遗传了弓箭的天赋，跟银色的基因！,
问：那你为什么姓月？,
答：随母姓。月长星，听着顺耳，叫着顺嘴。星伴月升，你想想那是多么富有诗情画意的名字。,
问：那还是精灵了？,
答：（愈加气愤）我说了，我不是精灵！我不是精灵！我不是精灵！好了，提问环节到此结束，要不然作者该强行退出第一人称的描写了！最后一句，月长星，男，二十岁，未婚。工作，月之大陆三大商会之一，精灵商会异族负责人，欢迎各族的美眉找我私聊~~,
题外音：精灵商会？你不还是精灵吗？话说，你不是有妻子，有女友，怎么会未婚啊！！！,
",请问，你是精灵吗？,106.2万,927,2017-12-01 16:21,"
                        ,
                            连载中                    ",幻想|战斗|异界,18分钟前,http://www.linovel.net/book/103362.html,52.8万
小先天,光怪陆离，奇幻大陆，为这个精彩的世界而奋斗！,提坦战记,21.4万,140,2017-11-01 16:16,"
                        ,
                            连载中                    ",幻想|战斗|异界,2小时前,http://www.linovel.net/book/103182.html,8.6万
大吉同学,"饱受嫌弃的家里蹲主角挂了，本以为咸鱼翻身当个天界公务员，然而总觉得进了什么骗子公司。一群同事除了美颜无敌，个个都囧不可言。唉，欢迎收看我与猪队友的工作日志，笑着笑着小心哭了。,
大概是个黑色幽默文。不过在人性的深海中所潜藏着的，除了怪兽，可能还有闭壳里的闪闪珍珠吧，哈哈。,
【暴言预警，网梗预警，颜文字预警，语气符连击预警】",外包天使团,5万,39,2018-06-22 04:13,"
                        ,
                            连载中                    ",幻想|节操|妖怪,11分钟前,http://www.linovel.net/book/104511.html,1.3万
dk,普通高校生霂与杰西卡穿越到异世界，该如何拯救这个有魔王的世界，在线等，挺急的。,穿越异世界勇者与魔王传,3.1万,23,2018-04-16 20:13,"
                        ,
                            连载中                    ",战斗|异界|后宫,4小时前,http://www.linovel.net/book/104165.html,9005
韭菜葱花馅烙饼,"       故事讲述的是在人类驱逐了异能力者之后的世界，一群怀揣着理想，性格迥异的人们互相交织的故事。,
      渴望安稳的便利店长，追求正义的杀手，冷血无情的执行官以及患有精神分裂症的少年等等，这是一个围绕着白色面具所发生的故事！,
      以普通人和异能力者编织的幻想世界，现在拉开帷幕！",无染的黑之鸠,<1万,6,3天前,"
                        ,
                            连载中                    ",幻想|战斗|超能力,4小时前,http://www.linovel.net/book/105584.html,1.4万
